Year,Name,Category,Rain Inch.,Highest Wind Speed,Damage(USD),Fatalities,AffectedAreas,
2000,Gordon,1,9.48,80,"5,100,000",26,"Florida, Georgia ",
2000,Helene,TS,9.56,70,"16,000,000",2,"Georgia, Florida, South Carolina, North Carolina",
2000,Leslie,TS,17.5,45,"950,000,000",3,Florida,
2001,Allison,TS,40,60,"9,000,000,000",55,"Texas, Louisiana, Mississippi, Alabama, Georgia, Florida, South Carolina, North Carolina",
2001,Barry,TS,8.9,70,"30,000,000",9,"Florida, Alabama",
2001,Gabrielle,1,15.1,80,"230,000,000",3,Florida,
2001,Michelle,4,41.65,140,"2,430,000,000",48,Florida,
2002,Bertha,TS,3,40,"200,000",1,"Florida, Alabama, Mississippi, Louisiana, Texas",
2002,Hanna,TS,5.75,60,"20,000,000",3,"Florida, Louisiana, Alabama, Mississippi, Georgia",
2002,Isidore,3,21.7,125,"1,280,000,000",22,"Louisiana, Mississippi",
2002,Lili,4,4.14,145,"1,160,000,000",15,Louisiana,
2002,Kyle,1,2.19,85,"5,000,000",1,"Florida, Georgia, South Carolina, North Carolina",
2003,Bill,TS,4,60,"50,500,000",4,"Texas, Louisiana, Mississippi, Alabama, Florida, Georgia",
2003,Claudette,1,3,90,"181,000,000",3,Texas,
2003,Erika,1,3.83,75,"100,000",2,"Florida, Texas",
2003,Grace,TS,10.36,40,"113,000",0,"Texas, Oklahoma",
2003,Henri,TS,10,60,"19,600,000",0,Florida,
2003,Isabel,5,1.34,165,"3,600,000,000",51,"North Carolina, Virginia",
2004,Bonnie,TS,4.64,65,"1,270,000",4,"Florida, Georgia, South Carolina, North Carolina, Virginia",
2004,Charley,4,5.87,150,"16,900,000,000",35,"Florida, Georgia, South Carolina, North Carolina",
2004,Frances,4,13,145,"10,100,000,000",50,Florida,
2004,Ivan,5,15.75,107,"4,000,000,000",29,"Florida, Alabama, Louisiana, Mississippi, Texas",
2004,Jeanne,3,11.97,128,"7,500,000,000",6,Florida,
2004,Matthew,TS,3.29,45,"305,000",0,"Louisiana, Mississippi, Alabama, Florida, Arkansas, Missouri",
2005,Arlene,TS,6.07,70,"11,800,000",2,"Florida, Alabama",
2005,Cindy,1,5,75,"320,000,000",3,"Louisiana, Mississippi, Alabama, Georgia",
2005,Dennis,4,8.7,150,"3,980,000,000",88,"Florida, Alabama, Mississippi",
2005,Katrina,5,16.43,97,"623,000,000",14,"Florida, Lousiana, Mississippi, Alabama",
2005,Ophelia,1,5.04,85,"70,000,000",4,"Florida, South Carolina",
2005,Rita,5,5.04,58,"18,500,000,000",120,"Florida, Georgia, Mississippi, Louisiana, Texas, Oklahoma, Arkansas",
2005,Tammy,TS,4.883,60,"30,000,000",10,"Florida, Georgia, South Carolina",
2005,Wilma,5,13.26,135,"26,500,000,000",52,Florida,
2006,Alberto,TS,7.08,70,"420,000",7,"Florida, Georgia, South Carolina, North Carolina",
2006,Ernesto,TS,8.72,75,"500,000,000",11,"Florida, North Carolina",
2007,Barry,TS,6.99,60,"118,000",3,"Florida, Georgia, South Carolina, North Carolina",
2007,Humberto,1,14.13,90,"50,000,000",1,"Texas, Louisiana, Mississippi, North Carolina, South Carolina",
2007,Noel,1,17.23,80,"580,000,000",222,Florida,
2007,Olga,TS,10,60,"45,000,000",40,Florida,
2008,Cristobal,TS,6,65,"10,000",0,"Florida, South Carolina, North Carolina",
2008,Dolly,2,16,100,"1,600,000,000",22,"Texas, New Mexico, Arizona",
2008,Edouard,TS,3.81,65,"550,000",6,"Florida, Alabama, Mississippi, Louisiana, Texas, Oklahoma",
2008,Fay,TS,27.65,70,"560,000,000",36,"Florida, Georgia, Alabama, Mississippi, Louisiana, Arkansas, North Carolina",
2008,Gustav,4,10.75,155,"8,310,000,000",153,"Louisiana, Mississippi, Oklahoma, Arkansas",
2008,Hanna,1,12,85,"160,000,000",537,"Georgia, South Carolina, North Carolina",
2008,Ike,4,10,145,"38,000,000,000",214,"Texas, Louisiana, Arkansas",
2008,Paloma,4,17.77,145,"455,000,000",1,Florida,
2009,Claudette,TS,7,60,"350,000",2,"Florida, Alabama",
2009,Ida,2,18,105,"11,400,000",4,"Florida, Alabama, Mississippi",
2010,Alex,2,23.1,110,"1,520,000,000",73,Texas,
2010,Bonnie,TS,3.25,45,"1,360,000",1,Florida,
2010,Nicole,TS,37.42,45,"245,000,000",20,Florida,
2011,Lee,TS,7,60,"2,800,000,000",18,"Louisiana, Alabama, Mississippi",
2011,Rina,3,15.79,115,"2,300,000",0,Florida,
2012,Beryl,TS,15,70,"148,000",3,Florida,
2012,Debby,TS,28.78,65,"250,000,000",8,Florida,
2012,Isaac,1,15.86,80,"3,110,000,000",41,"Florida, Louisiana, Arkansas, Mississippi, Alabama",
2013,Andrea,TS,14.27,65,"86,000",4,Florida,
2013,Karen,TS,6.95,65,"18,000",0,"Florida, North Carolina",
2015,Erika,TS,9,50,"511,000,000",35,Florida,
2015,Joaquin,4,5,155,"200,000,000",34,"Florida, South Carolina, North Carolina",
2015,Patricia,5,7.3,215,"463,000,000",13,Texas,
2016,Bonnie,TS,10,45,"640,000",2,South Carolina,
2016,Colin,TS,17.54,50,"1,040,000",6,Florida,
2016,Hermine,1,22.36,50,"550,000,000",5,Florida,
2016,Julia,TS,18,50,"6,130,000",0,"Georgia, North Carolina",
2016,Matthew,2,9,100,"2,770,000,000",12,Florida,
2017,Cindy,TS,9.46,60,"25,000,000",3,"Alabama, Mississippi",
