communityIdNumber,communityName,county,state,initialFloodHazardBoundaryMap,initialFloodInsuranceRateMap,currentlyEffectiveMapDate,regularEmergencyProgramDate,tribal,participatingInNFIP,originalEntryDate,classRatingEffectiveDate,classRating,sfhaDiscount,nonSfhaDiscount,lastRefresh
200439,"MOUND VALLEY, CITY OF",LABETTE COUNTY,KS,1975-08-22T00:00:00.000Z,2009-01-02T00:00:00.000Z,01/02/09(M),07/20/84,0,1,,,,,,2024-11-09T09:16:29.525Z
460170,"EAGLE BUTTE, TOWN OF",DEWEY COUNTY,SD,1976-11-12T00:00:00.000Z,1998-07-01T00:00:00.000Z,07/01/98(L),07/01/98,0,1,,,,,,2024-11-09T09:17:59.601Z
550275,"GLENDALE, CITY OF",MILWAUKEE COUNTY,WI,1973-12-14T00:00:00.000Z,1978-06-01T00:00:00.000Z,10/24/24,06/01/78,0,1,,,,,,2024-11-09T09:18:23.762Z
200445,"PALCO, CITY OF",ROOKS COUNTY,KS,1976-07-02T00:00:00.000Z,,(NSFHA),08/03/84,0,1,,,,,,2024-11-09T09:16:29.531Z
200446,"PARTRIDGE, CITY OF",RENO COUNTY,KS,1976-12-17T00:00:00.000Z,1990-09-28T00:00:00.000Z,(NSFHA),11/06/09,0,1,,,,,,2024-11-09T09:16:29.537Z
290645,"VERONA, CITY OF",LAWRENCE COUNTY,MO,1976-10-15T00:00:00.000Z,2012-08-02T00:00:00.000Z,08/02/12(M),08/02/12,0,1,,,,,,2024-11-09T09:17:03.682Z
290647,"VIENNA, CITY OF",MARIES COUNTY,MO,1975-02-07T00:00:00.000Z,,(NSFHA),11/01/79,0,1,,,,,,2024-11-09T09:17:03.688Z
290648,"WARRENTON, CITY OF",WARREN COUNTY,MO,1975-02-07T00:00:00.000Z,1983-05-16T00:00:00.000Z,11/04/09,05/16/83,0,1,,,,,,2024-11-09T09:17:03.694Z
290652,"WELLSVILLE, CITY OF",MONTGOMERY COUNTY,MO,1976-07-30T00:00:00.000Z,2009-05-18T00:00:00.000Z,05/18/09(M),09/02/10,0,1,,,,,,2024-11-09T09:17:03.706Z
290653,"WILLARD, CITY OF",GREENE COUNTY,MO,1976-11-05T00:00:00.000Z,2003-08-04T00:00:00.000Z,12/17/10,10/10/03,0,1,,,,,,2024-11-09T09:17:03.713Z
450010,"FAIRFAX, TOWN OF",ALLENDALE COUNTY,SC,1974-05-31T00:00:00.000Z,2003-07-01T00:00:00.000Z,07/22/10(M),07/01/03,0,1,,,,,,2024-11-09T09:17:57.339Z
450011,"SYCAMORE, TOWN OF",ALLENDALE COUNTY,SC,1974-10-25T00:00:00.000Z,2002-02-01T00:00:00.000Z,07/22/10(M),02/01/02,0,1,,,,,,2024-11-09T09:17:57.345Z
450012,"ULMER, TOWN OF",ALLENDALE COUNTY,SC,1974-08-16T00:00:00.000Z,1986-06-03T00:00:00.000Z,07/22/10(M),06/03/86,0,1,,,,,,2024-11-09T09:17:57.351Z
450013,ANDERSON COUNTY *,ANDERSON COUNTY,SC,1974-12-06T00:00:00.000Z,1981-01-02T00:00:00.000Z,12/21/17,01/02/81,0,1,,,,,,2024-11-09T09:17:57.357Z
450014,"ANDERSON, CITY OF",ANDERSON COUNTY,SC,1974-05-17T00:00:00.000Z,1980-12-16T00:00:00.000Z,12/21/17,12/16/80,0,1,,,,,,2024-11-09T09:17:57.364Z
450015,"BELTON, CITY OF",ANDERSON COUNTY,SC,1974-05-24T00:00:00.000Z,1980-05-01T00:00:00.000Z,09/29/11,05/01/80,0,1,,,,,,2024-11-09T09:17:57.370Z
450016,"HONEA PATH, TOWN OF",ABBEVILLE COUNTY/ANDERSON COUNTY,SC,1975-07-25T00:00:00.000Z,1980-03-04T00:00:00.000Z,09/29/11,03/04/80,0,1,,,,,,2024-11-09T09:17:57.376Z
450017,"IVA, TOWN OF",ANDERSON COUNTY,SC,1974-05-31T00:00:00.000Z,1986-06-17T00:00:00.000Z,09/29/11(M),06/17/86,0,1,,,,,,2024-11-09T09:17:57.382Z
450019,"PENDLETON, TOWN OF",ANDERSON COUNTY,SC,1974-06-21T00:00:00.000Z,1980-05-15T00:00:00.000Z,12/21/17,05/15/80,0,1,,,,,,2024-11-09T09:17:57.389Z
450020,"WILLIAMSTON, TOWN OF",ANDERSON COUNTY,SC,1974-05-31T00:00:00.000Z,1980-03-04T00:00:00.000Z,09/29/11,03/04/80,0,1,,,,,,2024-11-09T09:17:57.395Z
450021,"DENMARK, CITY OF",BAMBERG COUNTY,SC,1974-05-17T00:00:00.000Z,1976-06-25T00:00:00.000Z,09/29/10(M),06/25/76,0,1,,,,,,2024-11-09T09:17:57.401Z
450022,"EHRHARDT, TOWN OF",BAMBERG COUNTY,SC,1974-07-19T00:00:00.000Z,2010-09-29T00:00:00.000Z,09/29/10,01/07/11,0,1,,,,,,2024-11-09T09:17:57.407Z
450023,"BARNWELL, CITY OF",BARNWELL COUNTY,SC,1974-05-31T00:00:00.000Z,1989-03-02T00:00:00.000Z,09/29/10,03/02/89,0,1,,,,,,2024-11-09T09:17:57.415Z
450024,"BLACKVILLE, TOWN OF",BARNWELL COUNTY,SC,1974-06-07T00:00:00.000Z,1986-05-15T00:00:00.000Z,09/29/10(M),05/15/86,0,1,,,,,,2024-11-09T09:17:57.421Z
450025,BEAUFORT COUNTY*,BEAUFORT COUNTY,SC,,1977-09-30T00:00:00.000Z,03/23/21,09/30/77,0,1,1991-10-01T00:00:00.000Z,2018-05-01T00:00:00.000Z,5,25%,10%,2024-11-09T09:17:57.427Z
450029,BERKELEY COUNTY *,BERKELEY COUNTY,SC,1977-09-16T00:00:00.000Z,1983-09-30T00:00:00.000Z,12/07/18,09/30/83,0,1,2008-05-01T00:00:00.000Z,2013-05-01T00:00:00.000Z,8,10%,05%,2024-11-09T09:17:57.445Z
450031,"MONCKS CORNER, TOWN OF",BERKELEY COUNTY,SC,1974-05-24T00:00:00.000Z,1981-01-16T00:00:00.000Z,12/07/18,01/16/81,0,1,,,,,,2024-11-09T09:17:57.457Z
450036,"TEGA CAY, CITY OF",YORK COUNTY,SC,,2008-09-26T00:00:00.000Z,05/16/17,01/28/09,0,1,,,,,,2024-11-09T09:17:57.474Z
450037,"HOLLYWOOD, TOWN OF",CHARLESTON COUNTY,SC,1974-09-06T00:00:00.000Z,1986-06-17T00:00:00.000Z,01/29/21,06/17/86,0,1,2010-10-01T00:00:00.000Z,2022-10-01T00:00:00.000Z,6,20%,10%,2024-11-09T09:17:57.480Z
450038,"HICKORY GROVE, TOWN OF",YORK COUNTY,SC,,2008-09-26T00:00:00.000Z,09/26/08,11/17/08,0,1,,,,,,2024-11-09T09:17:57.486Z
450040,"MEGGETT, TOWN OF",CHARLESTON COUNTY,SC,1974-10-25T00:00:00.000Z,1979-05-11T00:00:00.000Z,01/29/21,05/11/79,0,1,1996-10-01T00:00:00.000Z,2022-10-01T00:00:00.000Z,6,20%,10%,2024-11-09T09:17:57.498Z
450042,"NORTH CHARLESTON, CITY OF",DORCHESTER COUNTY/BERKELEY COUNTY/CHARLESTON COUNTY,SC,1971-04-27T00:00:00.000Z,1976-10-08T00:00:00.000Z,01/29/21,10/08/76,0,1,2003-05-01T00:00:00.000Z,2007-10-01T00:00:00.000Z,7,15%,05%,2024-11-09T09:17:57.504Z
450043,"RAVENEL, TOWN OF",CHARLESTON COUNTY,SC,1974-06-14T00:00:00.000Z,1981-04-01T00:00:00.000Z,01/29/21,04/01/81,0,1,1996-10-01T00:00:00.000Z,2022-10-01T00:00:00.000Z,5,25%,10%,2024-11-09T09:17:57.510Z
450045,CHEROKEE COUNTY*,CHEROKEE COUNTY,SC,1978-06-09T00:00:00.000Z,1981-07-02T00:00:00.000Z,09/16/11,10/21/81,0,1,,,,,,2024-11-09T09:17:57.517Z
450046,"GAFFNEY, CITY OF",CHEROKEE COUNTY,SC,1974-06-28T00:00:00.000Z,1981-08-03T00:00:00.000Z,09/16/11,08/03/81,0,1,,,,,,2024-11-09T09:17:57.523Z
450047,CHESTER COUNTY *,CHESTER COUNTY,SC,1974-10-18T00:00:00.000Z,1982-07-05T00:00:00.000Z,05/16/17,07/05/82,0,1,,,,,,2024-11-09T09:17:57.529Z
450048,"CHESTER, CITY OF",CHESTER COUNTY,SC,1974-06-28T00:00:00.000Z,1982-07-05T00:00:00.000Z,09/16/11,07/05/82,0,1,,,,,,2024-11-09T09:17:57.535Z
450049,"GREAT FALLS, TOWN OF",CHESTER COUNTY,SC,1974-06-14T00:00:00.000Z,1976-06-25T00:00:00.000Z,09/16/11,06/25/76,0,1,,,,,,2024-11-09T09:17:57.541Z
450050,"CHERAW, TOWN OF",CHESTERFIELD COUNTY,SC,1975-08-01T00:00:00.000Z,1978-09-29T00:00:00.000Z,09/16/11,09/29/78,0,1,,,,,,2024-11-09T09:17:57.548Z
450051,CLARENDON COUNTY *,CLARENDON COUNTY,SC,1978-04-21T00:00:00.000Z,1991-06-03T00:00:00.000Z,08/19/13,06/03/91,0,1,,,,,,2024-11-09T09:17:57.553Z
450052,"MANNING, CITY OF",CLARENDON COUNTY,SC,1974-06-28T00:00:00.000Z,1986-04-15T00:00:00.000Z,08/19/13,04/15/86,0,1,,,,,,2024-11-09T09:17:57.560Z
450054,"SUMMERTON, TOWN OF",CLARENDON COUNTY,SC,1974-05-24T00:00:00.000Z,1986-06-03T00:00:00.000Z,08/19/13,06/03/86,0,1,,,,,,2024-11-09T09:17:57.565Z
450055,"TURBEVILLE, TOWN OF",CLARENDON COUNTY,SC,1975-01-24T00:00:00.000Z,2013-08-19T00:00:00.000Z,08/19/13,06/20/16,0,1,,,,,,2024-11-09T09:17:57.571Z
450056,COLLETON COUNTY*,COLLETON COUNTY,SC,1974-09-06T00:00:00.000Z,1987-04-17T00:00:00.000Z,12/21/17,04/17/87,0,1,2005-05-01T00:00:00.000Z,2022-04-01T00:00:00.000Z,8,10%,05%,2024-11-09T09:17:57.578Z
450058,"WALTERBORO,CITY OF",COLLETON COUNTY,SC,1974-06-07T00:00:00.000Z,1987-04-17T00:00:00.000Z,12/21/17,04/17/87,0,1,,,,,,2024-11-09T09:17:57.585Z
450059,"WILLIAMS, TOWN OF",COLLETON COUNTY,SC,1975-01-10T00:00:00.000Z,1986-07-17T00:00:00.000Z,12/21/17,07/17/86,0,1,,,,,,2024-11-09T09:17:57.591Z
450060,DARLINGTON COUNTY *,DARLINGTON COUNTY,SC,1974-12-27T00:00:00.000Z,1991-06-03T00:00:00.000Z,02/06/13,06/03/91,0,1,,,,,,2024-11-09T09:17:57.597Z
450061,"DARLINGTON, CITY OF",DARLINGTON COUNTY,SC,1974-06-07T00:00:00.000Z,1991-07-01T00:00:00.000Z,02/06/13,07/01/91,0,1,,,,,,2024-11-09T09:17:57.607Z
450062,"HARTSVILLE, CITY OF",DARLINGTON COUNTY,SC,1974-06-07T00:00:00.000Z,1987-09-01T00:00:00.000Z,02/06/13,09/01/87,0,1,,,,,,2024-11-09T09:17:57.614Z
450063,"LAMAR, TOWN OF",DARLINGTON COUNTY,SC,1975-07-18T00:00:00.000Z,2002-02-01T00:00:00.000Z,02/06/13,02/01/02,0,1,,,,,,2024-11-09T09:17:57.620Z
450064,DILLON COUNTY*,DILLON COUNTY,SC,1977-12-09T00:00:00.000Z,1991-07-16T00:00:00.000Z,05/24/11,04/08/08,0,1,,,,,,2024-11-09T09:17:57.626Z
550276,"GREENDALE, VILLAGE OF",MILWAUKEE COUNTY,WI,1973-12-28T00:00:00.000Z,1982-08-02T00:00:00.000Z,10/24/24,08/02/82,0,1,,,,,,2024-11-09T09:18:23.768Z
550278,"MILWAUKEE, CITY OF",WAUKESHA COUNTY/WASHINGTON COUNTY/MILWAUKEE COUNTY,WI,1974-06-28T00:00:00.000Z,1982-03-01T00:00:00.000Z,10/24/24,03/01/82,0,1,,,,,,2024-11-09T09:18:23.780Z
550279,"OAK CREEK, CITY OF",MILWAUKEE COUNTY,WI,1974-03-22T00:00:00.000Z,1978-09-29T00:00:00.000Z,10/24/24,09/29/78,0,1,,,,,,2024-11-09T09:18:23.786Z
550280,"RIVER HILLS, VILLAGE OF",MILWAUKEE COUNTY,WI,1973-12-17T00:00:00.000Z,1980-04-15T00:00:00.000Z,10/24/24,04/15/80,0,1,,,,,,2024-11-09T09:18:23.793Z
550281,"ST. FRANCIS, CITY OF",MILWAUKEE COUNTY,WI,1974-06-07T00:00:00.000Z,1978-07-07T00:00:00.000Z,10/24/24,07/07/78,0,1,,,,,,2024-11-09T09:18:23.799Z
550283,"SOUTH MILWAUKEE, CITY OF",MILWAUKEE COUNTY,WI,1973-12-28T00:00:00.000Z,1980-04-15T00:00:00.000Z,10/24/24,04/15/80,0,1,,,,,,2024-11-09T09:18:23.812Z
550284,"WAUWATOSA, CITY OF",MILWAUKEE COUNTY,WI,1973-12-21T00:00:00.000Z,1978-12-01T00:00:00.000Z,10/24/24,12/01/78,0,1,,,,,,2024-11-09T09:18:23.819Z
550285,"WEST ALLIS, CITY OF",MILWAUKEE COUNTY,WI,1974-04-12T00:00:00.000Z,1981-04-15T00:00:00.000Z,10/24/24,04/15/81,0,1,,,,,,2024-11-09T09:18:23.825Z
460173,"EUREKA, CITY OF",MCPHERSON COUNTY,SD,1976-07-16T00:00:00.000Z,1986-10-01T00:00:00.000Z,10/01/86(L),10/01/86,0,1,,,,,,2024-11-09T09:17:59.625Z
460175,"FAULKTON, CITY OF",FAULK COUNTY,SD,1975-02-21T00:00:00.000Z,1986-08-05T00:00:00.000Z,08/05/86(M),08/05/86,0,1,,,,,,2024-11-09T09:17:59.631Z
180496,"ARCADIA, TOWN OF",HAMILTON COUNTY,IN,1976-02-06T00:00:00.000Z,1988-08-16T00:00:00.000Z,(NSFHA),12/09/88,0,1,,,,,,2024-11-09T09:16:21.771Z
